index,contract,expiry,max_pain,price,diff_pct
沪深300,IO2606,2026-06-15,4750,4745.22,0.1007329481035546
沪深300,IO2607,2026-07-15,4800,4745.22,1.1544248738730722
沪深300,IO2608,2026-08-15,4800,4745.22,1.1544248738730722
沪深300,IO2609,2026-09-15,4600,4745.22,-3.060342829204976
沪深300,IO2612,2026-12-15,4600,4745.22,-3.060342829204976
沪深300,IO2703,2027-03-15,4600,4745.22,-3.060342829204976
上证50,HO2606,2026-06-15,2900,2847.46,1.845153224277074
上证50,HO2607,2026-07-15,2900,2847.46,1.845153224277074
上证50,HO2608,2026-08-15,2800,2847.46,-1.6667486110428231
上证50,HO2609,2026-09-15,2800,2847.46,-1.6667486110428231
上证50,HO2612,2026-12-15,2900,2847.46,1.845153224277074
上证50,HO2703,2027-03-15,2800,2847.46,-1.6667486110428231
中证1000,MO2606,2026-06-15,8200,8158.73,0.5058385312419977
中证1000,MO2607,2026-07-15,8300,8158.73,1.731519488940081
中证1000,MO2608,2026-08-15,8600,8158.73,5.408562362034286
中证1000,MO2609,2026-09-15,8000,8158.73,-1.9455233841541464
中证1000,MO2612,2026-12-15,8000,8158.73,-1.9455233841541464
中证1000,MO2703,2027-03-15,8000,8158.73,-1.9455233841541464
